observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters
observable_FeBM	preequilibration_iron-deficient	simulation_iron-deficient	3.583	4.0		1.4480000000000002
observable_FeOut	preequilibration_iron-deficient	simulation_iron-deficient	3.4389999999999996	7.0		22.1867
observable_FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	0.306	7.0		0.34299999999999997
observable_FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	74.238	7.0		21.427
observable_FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	0.0	7.0		0.15
observable_FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	4.194	7.0		0.973
observable_FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.037000000000000005	7.0		0.018000000000000002
observable_FeRest	preequilibration_iron-deficient	simulation_iron-deficient	15.493	7.0		5.6113
observable_FeBM	preequilibration_iron-deficient	simulation_iron-deficient	2.293	7.0		0.747
observable_FeOut	preequilibration_iron-deficient	simulation_iron-deficient	6.76	14.0		27.8885
observable_FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	0.21	14.0		0.142
observable_FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	76.763	14.0		27.456
observable_FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	0.0	14.0		0.15
observable_FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	3.582	14.0		1.744
observable_FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.047	14.0		0.036000000000000004
observable_FeRest	preequilibration_iron-deficient	simulation_iron-deficient	11.696	14.0		4.5246
observable_FeBM	preequilibration_iron-deficient	simulation_iron-deficient	0.9420000000000001	14.0		0.617
observable_FeOut	preequilibration_iron-deficient	simulation_iron-deficient	13.064	28.0		8.3665
observable_FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	0.263	28.0		0.22899999999999998
observable_FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	64.666	28.0		7.6270000000000024
observable_FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	0.0	28.0		0.15
observable_FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	1.501	28.0		0.396
observable_FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.037000000000000005	28.0		0.017
observable_FeRest	preequilibration_iron-deficient	simulation_iron-deficient	19.157	28.0		3.3912
observable_FeBM	preequilibration_iron-deficient	simulation_iron-deficient	1.3119999999999998	28.0		0.308
observable_FeOut	preequilibration_iron-rich	simulation_iron-rich	0.249	0.5		17.6799
observable_FePlasma	preequilibration_iron-rich	simulation_iron-rich	2.186	0.5		0.626
observable_FeRBC	preequilibration_iron-rich	simulation_iron-rich	7.22	0.5		2.1390000000000002
observable_FeSpleen	preequilibration_iron-rich	simulation_iron-rich	0.6990000000000001	0.5		0.483
observable_FeLiver	preequilibration_iron-rich	simulation_iron-rich	17.805	0.5		6.146
observable_FeGut	preequilibration_iron-rich	simulation_iron-rich	0.20199999999999999	0.5		0.121
observable_FeRest	preequilibration_iron-rich	simulation_iron-rich	35.359	0.5		9.1161
observable_FeBM	preequilibration_iron-rich	simulation_iron-rich	36.28	0.5		13.655999999999999
observable_FeOut	preequilibration_iron-rich	simulation_iron-rich	0.498	1.0		10.8017
observable_FePlasma	preequilibration_iron-rich	simulation_iron-rich	0.397	1.0		0.207
observable_FeRBC	preequilibration_iron-rich	simulation_iron-rich	11.912	1.0		3.895
observable_FeSpleen	preequilibration_iron-rich	simulation_iron-rich	0.7909999999999999	1.0		0.429
observable_FeLiver	preequilibration_iron-rich	simulation_iron-rich	32.613	1.0		6.2929999999999975
observable_FeGut	preequilibration_iron-rich	simulation_iron-rich	0.215	1.0		0.073
observable_FeRest	preequilibration_iron-rich	simulation_iron-rich	39.419000000000004	1.0		6.3189
observable_FeBM	preequilibration_iron-rich	simulation_iron-rich	14.155	1.0		4.663
observable_FeOut	preequilibration_iron-rich	simulation_iron-rich	1.98	4.0		19.1365
observable_FePlasma	preequilibration_iron-rich	simulation_iron-rich	0.146	4.0		0.055999999999999994
observable_FeRBC	preequilibration_iron-rich	simulation_iron-rich	27.991999999999997	4.0		2.862
observable_FeSpleen	preequilibration_iron-rich	simulation_iron-rich	0.755	4.0		0.10800000000000001
observable_FeLiver	preequilibration_iron-rich	simulation_iron-rich	31.273000000000003	4.0		16.113
observable_FeGut	preequilibration_iron-rich	simulation_iron-rich	0.198	4.0		0.163
observable_FeRest	preequilibration_iron-rich	simulation_iron-rich	30.482	4.0		9.759
observable_FeBM	preequilibration_iron-rich	simulation_iron-rich	7.1739999999999995	4.0		1.7630000000000001
observable_FeOut	preequilibration_iron-rich	simulation_iron-rich	3.44	7.0		10.7541
observable_FePlasma	preequilibration_iron-rich	simulation_iron-rich	0.083	7.0		0.027999999999999997
observable_FeRBC	preequilibration_iron-rich	simulation_iron-rich	42.01300000000001	7.0		6.3629999999999995
observable_FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	0.843	7.0		0.43
observable_FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	17.409000000000002	7.0		5.914
observable_FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.05	7.0		0.028999999999999998
observable_FeRest	preequilibration_iron-deficient	simulation_iron-deficient	30.322	7.0		5.9322
observable_FeBM	preequilibration_iron-deficient	simulation_iron-deficient	5.84	7.0		2.193
observable_FeOut	preequilibration_iron-deficient	simulation_iron-deficient	6.7589999999999995	14.0		15.9765
observable_FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	0.134	14.0		0.08800000000000001
observable_FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	51.145	14.0		11.19
observable_FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	0.597	14.0		0.129
observable_FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	14.735999999999999	14.0		9.756
observable_FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.057	14.0		0.053
observable_FeRest	preequilibration_iron-deficient	simulation_iron-deficient	19.187	14.0		5.3348
observable_FeBM	preequilibration_iron-deficient	simulation_iron-deficient	7.385	14.0		2.523
observable_FeOut	preequilibration_iron-deficient	simulation_iron-deficient	13.062999999999999	28.0		11.1035
observable_FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	0.305	28.0		0.106
observable_FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	44.3	28.0		8.961
observable_FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	1.0959999999999999	28.0		0.303
observable_FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	18.488	28.0		5.145
observable_FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.07	28.0		0.065
observable_FeRest	preequilibration_iron-deficient	simulation_iron-deficient	17.332	28.0		3.8432
observable_FeBM	preequilibration_iron-deficient	simulation_iron-deficient	5.346	28.0		1.28
